name,p_nom,technology,emission_factor,p_nom_max,p_nom_extendable,min_power,efficiency,marginal_cost,bus,capital_cost
Unit_103,74,natural gas,0.2,74,FALSE,14.8,0.379750051,5.5,22,
Unit_104,62,natural gas,0.2,62,FALSE,12.4,0.523767377,5.5,22,
Unit_105,62,natural gas,0.2,62,FALSE,12.4,0.523767377,5.5,22,
Unit_106,62,natural gas,0.2,62,FALSE,12.4,0.523767377,5.5,22,
Unit_107,75.2,natural gas,0.2,75.2,FALSE,15.04,0.390201934,5.5,139,
Unit_108,75.2,natural gas,0.2,75.2,FALSE,15.04,0.390201934,5.5,139,
Unit_109,84,natural gas,0.2,84,FALSE,16.8,0.390650532,5.5,139,
Unit_110,725,hard coal,0.3,725,FALSE,145,0.458402452,1.3,156,1300000
Unit_111,86.2,oil,0.25,86.2,FALSE,17.24,0.3072,5.5,135,
Unit_112,100,natural gas,0.2,100,FALSE,20,0.544796527,5.5,135,
Unit_113,66.7,natural gas,0.2,66.7,FALSE,13.34,0.316656285,5.5,135,
Unit_114,64.7,natural gas,0.2,64.7,FALSE,12.94,0.319107807,5.5,135,
Unit_115,595,natural gas,0.2,595,FALSE,119,0.612089806,5.5,135,
Unit_116,61.6,natural gas,0.2,61.6,FALSE,12.32,0.35132835,5.5,61,
Unit_117,321,natural gas,0.2,321,FALSE,64.2,0.326462372,5.5,6,
Unit_118,75.185,natural gas,0.2,75.185,FALSE,15.037,0.616295636,5.5,145,
Unit_119,433,natural gas,0.2,433,FALSE,86.6,0.431239119,5.5,163,
Unit_120,112.719,natural gas,0.2,112.719,FALSE,225.438,0.35974001,5.5,0,
Unit_121,321,lignite,0.4,321,FALSE,64.2,0.328951076,1.65,88,
Unit_122,663,lignite,0.4,663,FALSE,132.6,0.345062344,1.65,88,
Unit_123,200,natural gas,0.2,200,FALSE,40,0.39174058,5.5,88,
Unit_124,656,lignite,0.4,656,FALSE,131.2,0.347363954,1.65,88,
Unit_125,200,natural gas,0.2,200,FALSE,40,0.39174058,5.5,88,
Unit_126,50.1,natural gas,0.2,50.1,FALSE,10.02,0.419620193,5.5,107,
Unit_127,60,natural gas,0.2,60,FALSE,12,0.434329323,5.5,107,
Unit_128,71,waste,0,71,FALSE,14.2,0.33,0,54,
Unit_129,92,natural gas,0.2,92,FALSE,18.4,0.434329323,5.5,54,
Unit_130,92,natural gas,0.2,92,FALSE,18.4,0.434329323,5.5,54,
Unit_131,53.6,natural gas,0.2,53.6,FALSE,10.72,0.557414017,5.5,54,
Unit_132,70,natural gas,0.2,70,FALSE,14,0.565825677,5.5,54,
